"","Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"3161","Heimerdinger","MID","Fair",42.02,2.97,51.69,39.55,0.89,1.33,1.83,12.9
"3162","Heimerdinger","ADC","Bad",32.88,5.05,52.11,14.34,0.28,1.33,2.01,12.9
"3163","Heimerdinger","SUPPORT","Bad",30.41,-1.05,48.02,11.22,0.24,1.46,1.75,12.9
"3164","Heimerdinger","TOP","Bad",30.14,-1.67,49.27,33.68,0.7,1.33,1.58,12.9
"3165","Illaoi","TOP","Fair",43.84,-1.73,49.98,92.53,2.83,4.47,1.36,12.9
"3166","Irelia","TOP","Strong",70.4,-10.21,49.06,56.14,5.94,21.49,1.55,12.9
"3167","Irelia","MID","Good",52.92,-2.9,49.07,42.09,4.61,21.49,1.74,12.9
"3168","Ivern","JUNGLE","Bad",32.53,-0.84,47.66,78.15,1.21,0.44,3.1,12.9
"3169","Ivern","SUPPORT","Bad",22.55,-7.72,42.25,11.22,0.17,0.41,2.54,12.9
"3170","Janna","SUPPORT","Strong",58.37,0.3,52.99,97.02,4.33,0.97,3.12,12.9
"3171","Jarvan IV","JUNGLE","Fair",42.78,-8.09,48.89,88.9,2.87,0.44,3.12,12.9
"3172","Jax","TOP","God",72.03,-6.25,50.89,84.23,6.26,10.29,1.62,12.9
"3173","Jax","JUNGLE","Weak",35.95,4.16,51.89,13.66,1.01,9.86,2.11,12.9
"3174","Jayce","TOP","Fair",43.44,3.65,47.76,82.08,3.42,0.76,1.66,12.9
"3175","Jayce","MID","Weak",36.24,-1.49,48.62,15.68,0.61,0.74,1.98,12.9
"3176","Jhin","ADC","God",83.9,-4.79,51.35,97.27,18.69,4.49,2.83,12.9
"3177","Jinx","ADC","Good",51.92,-12.1,49.39,98.56,9.68,2.6,2.14,12.9
"3178","Kai'Sa","ADC","Strong",70.6,1.79,50.47,93.99,15.6,2.82,2.38,12.9
"3179","Kalista","ADC","Weak",38.32,2.55,50.07,90.82,3.37,1.12,2.29,12.9
"3180","Karma","SUPPORT","Strong",64.62,-0.09,49.22,81.55,8.87,4.71,2.67,12.9
"3181","Karma","MID","Fair",45.59,0,50.06,10.58,1.24,4.71,2.81,12.9
"3182","Karthus","JUNGLE","Fair",45.52,-3.36,49.4,68,3.62,9.97,2.48,12.9
"3183","Karthus","MID","Fair",43.34,0,51.99,10.91,0.54,9.97,2.15,12.9
"3184","Karthus","ADC","Weak",38.07,-2.57,53.23,15.68,0.92,9.97,2.17,12.9
"3185","Kassadin","MID","Good",53.59,0.53,51.8,95.4,3.25,8.73,2.33,12.9
"3186","Katarina","MID","God",78.43,4.98,50.46,93.85,10.26,15.41,2.25,12.9
"3187","Kayle","TOP","Strong",69.22,0.13,53.33,77.44,5.17,3.03,1.8,12.9
"3188","Kayle","MID","Fair",47.54,-2.48,52.86,19.68,1.29,3.03,2.21,12.9
"3189","Kayn","JUNGLE","God",76.23,-11.46,50.58,96.03,9.56,11.92,2.35,12.9
"3190","Kennen","MID","Fair",44.02,-0.85,52.09,18.18,0.42,0.63,2.37,12.9
"3191","Kennen","TOP","Fair",40.18,1.42,49.44,77.3,1.87,0.63,1.93,12.9
"3192","Kha'Zix","JUNGLE","Strong",70.76,-11.07,51.47,98.41,8.01,8.49,2.55,12.9
"3193","Kindred","JUNGLE","Good",47.68,4.12,50.56,93.1,4.18,3.69,2.25,12.9
"3194","Kled","MID","Good",52.64,0.43,56.29,10.1,0.18,0.88,2.7,12.9
"3195","Kled","TOP","Good",49.41,6.2,52.39,86,1.64,0.84,2.38,12.9
"3196","Kog'Maw","ADC","Fair",41.49,0.53,53.22,87.51,2.39,0.58,2.19,12.9
"3197","LeBlanc","MID","Good",49.32,-0.69,46.38,92.65,4.51,8.09,2.56,12.9
"3198","Lee Sin","JUNGLE","God",72.07,-15.01,46.13,92.9,10.94,9.32,2.54,12.9
"3199","Leona","SUPPORT","Strong",60.22,1.72,49.16,98.09,7.85,7.94,2.31,12.9
"3200","Lillia","JUNGLE","Good",52.03,-3.96,50.35,82.5,4.72,2.29,2.7,12.9
"3201","Lillia","TOP","Fair",41.35,7.39,52.23,13.92,0.84,2.21,2,12.9
"3202","Lissandra","MID","Good",48.46,0.35,50.86,90.83,2.58,0.81,2.29,12.9
"3203","Lucian","ADC","God",87.01,-0.08,51.84,88.68,17.48,18.71,2.3,12.9
"3204","Lulu","SUPPORT","Strong",71.61,-3.38,50.54,95.26,8.69,15.27,3.01,12.9
"3205","Lux","SUPPORT","Strong",68.94,-6.85,48.84,62.4,9.99,9.09,2.41,12.9
"3206","Lux","MID","Strong",60.28,-0.78,50.84,34.08,4.92,9.09,2.74,12.9
"3207","Malphite","TOP","Good",57.47,-1.28,50.93,72.33,3.64,3.59,2.23,12.9
"3208","Malphite","MID","Fair",39.81,-0.95,49.57,12.45,0.63,3.59,2.3,12.9
"3209","Malphite","SUPPORT","Bad",28.53,-3.31,45.74,13.57,0.75,3.57,1.95,12.9
"3210","Malzahar","MID","Good",50.16,-0.68,51.68,91.18,2.91,3.24,2.08,12.9
"3211","Maokai","SUPPORT","Fair",40.32,6.01,51,76.16,1.05,0.11,2.15,12.9
"3212","Maokai","TOP","Weak",34.52,9.74,50.87,16.98,0.28,0.11,1.99,12.9
"3213","Master Yi","JUNGLE","Strong",62.22,-15.14,49.62,90.9,6.47,17.86,1.97,12.9
"3214","Miss Fortune","ADC","Strong",58.89,-15.38,50.35,93.13,11.32,3.61,2.19,12.9
"3215","Mordekaiser","TOP","God",83.44,-5.33,50.35,81.21,7.95,9.23,1.8,12.9
"3216","Mordekaiser","JUNGLE","Weak",38.12,2.94,51.47,13.23,1.34,9.94,2.33,12.9
"3217","Morgana","SUPPORT","Strong",61.52,-6.27,48.56,87.39,6.7,23.21,2.38,12.9
"3218","Nami","SUPPORT","God",86.73,-0.09,51.6,99.55,13.36,6.93,3.19,12.9
"3219","Nasus","TOP","Good",50.78,-5.37,49.38,76.12,3.74,3.4,1.75,12.9
"3220","Nasus","MID","Weak",35.6,0,48.23,12.69,0.37,3.4,2.13,12.9
"3221","Nautilus","SUPPORT","God",77.72,-2.88,50.69,97.92,11,16.38,2.35,12.9
"3222","Neeko","MID","Good",49.89,-2.15,53.11,55.59,1.8,0.59,2.28,12.9
"3223","Neeko","SUPPORT","Bad",33.66,0.85,48.31,25.46,0.82,0.59,1.96,12.9
"3224","Neeko","TOP","Bad",25.64,-1.41,47.88,10.67,0.29,0.59,1.76,12.9
"3225","Nidalee","JUNGLE","Good",50.32,-4.62,48.23,90.15,5.1,4.59,2.83,12.9
"3226","Nocturne","JUNGLE","Strong",61.47,-5.43,52.8,94.91,5.36,6.01,2.64,12.9
"3227","Nunu","JUNGLE","Fair",44.9,5.87,50.65,87.11,2.82,1.23,2.8,12.9
"3228","Olaf","TOP","Strong",62.9,54.24,53.18,46.39,3.96,8.89,1.79,12.9
"3229","Olaf","JUNGLE","Good",54.61,39.7,51.94,51.48,4.57,8.89,2.37,12.9
"3230","Orianna","MID","Fair",41.78,-3.9,47.54,91.85,2.22,0.17,2.41,12.9
"3231","Ornn","TOP","Strong",59.69,-2.96,50.96,92.72,4.07,0.71,2.26,12.9
"3232","Pantheon","MID","Fair",46.09,1.12,51.67,27.59,1.44,1.1,2.27,12.9
"3233","Pantheon","TOP","Weak",39.4,1.71,50.76,21.56,1.13,1.14,1.99,12.9
"3234","Pantheon","SUPPORT","Weak",37.01,1.85,47.7,43.9,2.33,1.1,1.93,12.9
"3235","Poppy","TOP","Fair",40.98,0.23,50.24,36.92,1.56,2.11,2,12.9
"3236","Poppy","JUNGLE","Weak",36.22,-2.84,48.71,52.54,2.25,2.11,2.55,12.9
"3237","Pyke","SUPPORT","Strong",71.35,-16.91,48.18,92.21,10.19,21.73,2.11,12.9
"3238","Qiyana","MID","Good",49.14,-0.21,49.31,67.76,3.88,6.22,1.99,12.9
"3239","Qiyana","JUNGLE","Bad",31.35,-0.03,48.23,27.57,1.57,6.22,2.37,12.9
"3240","Quinn","TOP","Fair",44.37,0.97,51.9,79.44,1.7,1.1,1.82,12.9
"3241","Rakan","SUPPORT","Good",50.05,-1.07,49.61,98.33,4.19,0.29,2.81,12.9
"3242","Rammus","JUNGLE","Fair",44.59,-2.37,51.22,94.75,2.33,3.87,2.83,12.9
"3243","Rek'Sai","JUNGLE","Fair",45.15,0.02,51.12,96.42,2.94,3.84,2.51,12.9
"3244","Rell","SUPPORT","Fair",41.71,0.16,50.04,97.89,1.78,0.3,2.39,12.9
