"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Aatrox","TOP","Strong","66.17","-11","48.23","91.94","6.36","5.83","1.88","12.10"
"Ahri","MID","God ","79.46","-0.88","50.7","95.49","10.48","10.29","2.72","12.10"
"Akali","MID","Good","56.04","-6.6","47.42","65.77","6.03","13.84","2.32","12.10"
"Akali","TOP","Fair","44.73","-4.9","47.12","33.33","2.93","13.84","2.08","12.10"
"Akshan","MID","Good","47.55","-4.99","49.5","62.98","3.11","8.64","2.23","12.10"
"Akshan","TOP","Fair","43.63","-1.19","51.55","29.09","1.49","8.64","2.03","12.10"
"Alistar","SUPPORT","Fair","42.34","-5.45","47.39","96.61","3.61","0.93","2.36","12.10"
"Amumu","JUNGLE","Fair","39.49","0.7","48.93","85.98","2.54","1.1","2.51","12.10"
"Amumu","SUPPORT","Weak","35.21","2.14","48.65","10.34","0.29","1.17","1.92","12.10"
"Anivia","MID","Good","56.22","5.68","51.8","84.64","3.79","4.21","2.74","12.10"
"Anivia","SUPPORT","Weak","34.61","2.74","47.4","10.84","0.41","4.09","2.27","12.10"
"Annie","MID","Fair","43.26","-0.26","49.82","83.86","1.73","0.65","2.36","12.10"
"Annie","SUPPORT","Weak","37.49","10.56","49.45","10.13","0.2","0.65","2.19","12.10"
"Aphelios","ADC","Bad","30.76","-5.09","45.96","96.96","5.67","0.9","1.96","12.10"
"Ashe","ADC","Good","53.6","7.09","51.85","75.52","7.15","1.09","2.46","12.10"
"Ashe","SUPPORT","Weak","38.59","-0.6","47.36","20.85","1.94","1.09","2.40","12.10"
"Aurelion Sol","MID","Fair","41.85","2.32","49.61","87.62","1.24","0.41","2.49","12.10"
"Azir","MID","Fair","43.3","5.62","48.34","86.67","2.68","0.54","2.30","12.10"
"Bard","SUPPORT","Good","51.39","2.57","50.81","97.04","3.66","0.5","3.07","12.10"
"Blitzcrank","SUPPORT","Good","58","-5.13","50.82","98.14","6.42","15.65","2.44","12.10"
"Brand","SUPPORT","Good","48.33","4.04","51.17","67.1","3.78","5.14","1.93","12.10"
"Brand","MID","Good","47.54","7.05","53.43","20.78","1.11","5.58","2.18","12.10"
"Braum","SUPPORT","Good","47.79","4.02","50.74","98.59","2.46","0.33","2.90","12.10"
"Caitlyn","ADC","Fair","45.09","-3.74","46.65","96.4","8.47","5.85","2.18","12.10"
"Camille","TOP","Strong","63.83","3.45","47.97","94.89","6.2","3.8","1.90","12.10"
"Cassiopeia","MID","Fair","45.8","1.57","50.18","74.8","2.52","1.72","2.17","12.10"
"Cassiopeia","TOP","Bad","33.14","5.06","50.42","15.96","0.5","1.66","1.88","12.10"
"Cho'Gath","TOP","Fair","43.26","-8.74","49.14","67.17","2.45","0.86","2.03","12.10"
"Cho'Gath","MID","Fair","40.1","-5.43","50.29","18.89","0.62","0.92","2.28","12.10"
"Corki","MID","Fair","42.25","5.54","49.03","90.05","1.92","0.46","2.34","12.10"
"Darius","TOP","God ","92.94","7.34","51.37","93.11","8.2","17.63","1.90","12.10"
"Diana","JUNGLE","Strong","66.69","-8.3","50.82","83.33","8","8.76","2.50","12.10"
"Diana","MID","Fair","45.4","0.42","51.79","15.06","1.43","8.76","2.13","12.10"
"Dr. Mundo","TOP","Good","50.26","3.72","51.8","85.13","2.31","1.36","2.30","12.10"
"Draven","ADC","Fair","40.93","-0.94","49.8","94.66","5.11","9.61","2.11","12.10"
"Ekko","JUNGLE","Good","54.85","0.2","51.81","65.95","4.51","3.13","2.83","12.10"
"Ekko","MID","Fair","43.2","-2.81","49.05","31.92","2.2","3.16","2.29","12.10"
