"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Aatrox","TOP","God ","78.04","18.05","50.05","93.07","7.05","3.39","1.91","12.4"
"Ahri","MID","God ","95.45","0.23","52.32","94.53","14.4","13.64","2.57","12.4"
"Akali","MID","Strong","69.59","4.82","49.62","66.35","8.45","18.34","2.31","12.4"
"Akali","TOP","Good","56.22","-18.57","48.17","33.04","3.93","18.34","2.04","12.4"
"Akshan","MID","Good","52.94","-1.48","50.23","58.16","3.94","16.16","2.19","12.4"
"Akshan","TOP","Good","49.75","9.18","51.97","34.63","2.28","16.16","1.90","12.4"
"Alistar","SUPPORT","Fair","43.9","0.9","49.17","96.48","2.94","0.64","2.46","12.4"
"Amumu","JUNGLE","Fair","44.24","-0.71","50.15","80.89","2.82","1.34","2.48","12.4"
"Amumu","SUPPORT","Weak","37.03","7.73","48.59","17.51","0.32","1.34","2.02","12.4"
"Anivia","MID","Good","53.6","0.85","52.36","82.14","2.9","2.96","2.56","12.4"
"Anivia","SUPPORT","Bad","33.39","2.21","46.38","11.84","0.38","2.91","2.11","12.4"
"Annie","MID","Good","49.02","1.63","52.41","86.2","1.86","0.75","2.31","12.4"
"Aphelios","ADC","Fair","45.36","1.67","47.08","98.01","9.11","1.59","2.01","12.4"
"Ashe","ADC","Fair","45.56","0.48","49.75","90.1","5.47","0.87","2.32","12.4"
"Aurelion Sol","MID","Good","50.51","5.36","53.58","89.06","1.02","0.37","2.68","12.4"
"Azir","MID","Bad","33.5","-3.01","45.65","90.34","1.4","0.25","2.04","12.4"
"Bard","SUPPORT","Fair","46.32","2.79","49.68","95.68","2.73","0.57","2.90","12.4"
"Blitzcrank","SUPPORT","Strong","59.42","-14.84","51.65","97.92","8.01","20.38","2.47","12.4"
"Brand","SUPPORT","Fair","46.24","0.36","51.24","70.24","3.47","5.2","1.80","12.4"
"Brand","MID","Fair","42.19","2.34","51.08","17.3","0.92","5.7","1.99","12.4"
"Brand","ADC","Fair","41.98","-0.66","52.95","10.23","0.42","5.7","2.15","12.4"
"Braum","SUPPORT","Weak","39.87","-0.83","47.4","97.11","1.97","0.36","2.64","12.4"
"Caitlyn","ADC","Good","55.52","-1.29","47.72","97.85","13.11","12.01","2.17","12.4"
"Camille","TOP","Strong","67.08","-10.64","50.07","95.8","5.5","4.7","1.90","12.4"
"Cassiopeia","MID","Good","48.97","1.08","52.08","71.82","2.34","1.65","2.13","12.4"
"Cassiopeia","ADC","Weak","41.26","-3.71","51.89","10.87","0.36","1.65","2.33","12.4"
"Cassiopeia","TOP","Bad","33.71","11.15","52.06","16.41","0.56","1.65","1.88","12.4"
"Cho'Gath","TOP","Good","48","3.64","51.54","70.76","2.39","0.86","2.15","12.4"
"Cho'Gath","MID","Weak","35.56","-10.18","47.72","17.38","0.46","0.86","2.24","12.4"
"Corki","MID","Fair","44.8","0.37","47.99","94.09","3.52","1.62","2.09","12.4"
"Darius","TOP","God ","79.35","-8.75","49.61","94.29","6.6","14.5","1.78","12.4"
"Diana","JUNGLE","God ","79.81","-5.09","51.77","85.85","10.92","14.94","2.47","12.4"
"Diana","MID","Good","48.33","1.15","52.39","13","1.64","14.94","2.16","12.4"
"Dr. Mundo","TOP","Fair","46.64","-11.03","50.76","87.05","2.49","2.29","2.09","12.4"
"Draven","ADC","Fair","43.01","-1.23","48.72","95.12","5.22","8.39","2.08","12.4"
"Ekko","JUNGLE","Strong","58.19","3.69","51.31","64.75","5.81","3.59","2.71","12.4"
"Ekko","MID","Fair","46.28","0.34","49.36","33.03","2.88","3.59","2.23","12.4"
"Elise","JUNGLE","Fair","43.56","2.07","50.83","93.92","2.05","1.1","2.54","12.4"
"Evelynn","JUNGLE","Fair","44.55","1.43","48.61","98.68","3.31","6.52","2.76","12.4"
"Ezreal","ADC","Strong","61.79","0.33","48.59","96.27","17.22","4.07","2.30","12.4"
"Fiddlesticks","JUNGLE","Fair","45.25","-2.73","50.37","91.68","2.75","2.14","2.61","12.4"
"Fiora","TOP","God ","79.7","-7.96","50.66","97.52","6.54","12.45","1.71","12.4"
"Fizz","MID","Good","51.41","-1.29","50.35","96.31","3.6","4.82","2.39","12.4"
"Galio","MID","Fair","45.89","-1.58","49.76","66.5","1.96","0.42","2.61","12.4"
"Galio","SUPPORT","Weak","40.78","10.29","49.42","30.25","0.89","0.42","2.35","12.4"
"Gangplank","TOP","Strong","63.7","-6.78","48.34","88.16","5.6","3.99","1.98","12.4"
"Gangplank","MID","Bad","33.45","-4.78","46.33","11.52","0.79","4.02","2.12","12.4"
"Garen","TOP","God ","75.51","-6.5","50.83","88","6.37","3.21","1.98","12.4"
"Gnar","TOP","Good","53.91","12.38","48.9","97.3","4.41","0.8","1.85","12.4"
"Gragas","TOP","Weak","41.33","-5.39","48.54","51.32","2.54","0.53","2.12","12.4"
"Gragas","JUNGLE","Weak","34.98","-2.71","47.48","33.57","1.54","0.53","2.64","12.4"
"Graves","TOP","Strong","69.52","26.78","49.95","39.61","5.62","10.7","1.66","12.4"
"Graves","JUNGLE","Strong","64.85","-0.71","50.45","55.61","7.77","10.7","2.66","12.4"
"Gwen","TOP","Strong","64.1","-13.19","48.38","52.76","5.27","12.98","1.68","12.4"
"Gwen","JUNGLE","Good","50.44","5.14","49.54","45.21","4.61","12.98","2.35","12.4"
"Hecarim","JUNGLE","God ","76.91","9.92","51.71","98.99","9.41","12.7","3.07","12.4"
"Heimerdinger","MID","Fair","43.07","1.75","51.99","40.71","0.9","0.9","1.88","12.4"
"Heimerdinger","ADC","Fair","42.02","-1","53.06","13.09","0.24","0.9","2.18","12.4"
"Heimerdinger","TOP","Bad","25.43","4.74","48.91","36.52","0.73","0.9","1.66","12.4"
"Illaoi","TOP","Good","51.5","24.03","53","94.29","2.98","2.98","1.49","12.4"
"Irelia","TOP","God ","89.46","0.28","50.17","65.32","7.27","20.31","1.62","12.4"
"Irelia","MID","Good","51.14","0.91","50.44","33.28","3.72","20.31","1.80","12.4"
"Ivern","JUNGLE","Fair","41.58","2.07","48.99","83.27","1.28","0.42","3.36","12.4"
"Janna","SUPPORT","Strong","56.24","-20.17","52.02","95.55","5.56","4.69","3.10","12.4"
"Jarvan IV","JUNGLE","Good","53.95","1.95","50.81","93.14","4.16","0.55","3.20","12.4"
"Jax","TOP","Strong","66.93","-6.07","51.28","84.23","5.19","8.73","1.58","12.4"
"Jax","JUNGLE","Weak","34.27","0.83","49.54","14.68","0.97","8.42","1.99","12.4"
"Jayce","TOP","Strong","58.14","-5.23","47.95","85.79","5.35","1.87","1.72","12.4"
"Jayce","MID","Fair","43.54","1.24","51.81","12.75","0.74","1.87","2.13","12.4"
"Jhin","ADC","God ","75.82","1.41","50.97","98.52","21.58","5.53","2.93","12.4"
"Jinx","ADC","God ","77.7","7.54","51.19","99.23","23.86","7.61","2.37","12.4"
"Kai'Sa","ADC","Good","55.31","-0.01","49.03","97.54","12.54","2.19","2.36","12.4"
"Kalista","ADC","Weak","37.39","1.21","48.2","88.99","2","0.34","2.18","12.4"
"Karma","SUPPORT","Good","56.09","-11.36","49.18","81.25","9.58","5.49","2.70","12.4"
"Karma","MID","Good","47.32","0","50.82","11.14","1.24","5.49","2.87","12.4"
"Karthus","ADC","Fair","42.85","0.64","52.98","18.77","0.72","2.08","2.22","12.4"
"Karthus","MID","Weak","37.87","-0.49","49.28","14.93","0.45","2.08","2.12","12.4"
"Karthus","JUNGLE","Weak","35.54","0.37","47.76","58.85","1.9","2.08","2.39","12.4"
"Kassadin","MID","Good","55.16","1.78","51.55","96.88","3.75","9.75","2.44","12.4"
"Katarina","MID","Strong","58.9","-2.31","48.84","94.54","6.75","8.81","2.26","12.4"
