"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Aatrox","TOP","God ","71.56","-0.63","50.02","92.99","6.94","4.9","1.93","12.6"
"Ahri","MID","God ","94.69","5.22","51.89","93.79","13.42","14.14","2.51","12.6"
"Akali","MID","Strong","66.07","-1.93","48.45","62.38","7.63","19.12","2.25","12.6"
"Akali","TOP","Good","56.17","-3.42","48.04","36.84","4.29","19.12","1.96","12.6"
"Akshan","MID","Good","53.89","0.15","51.9","57.69","3.36","12.17","2.22","12.6"
"Akshan","TOP","Fair","42.76","-1.58","50.36","32.37","1.79","12.17","1.90","12.6"
"Alistar","SUPPORT","Fair","44.38","-1.32","49.14","92.57","3.33","0.84","2.45","12.6"
"Amumu","JUNGLE","Fair","42.95","-1.17","49.59","85.47","2.64","1.12","2.49","12.6"
"Amumu","SUPPORT","Bad","33.82","0.1","50.1","12.74","0.32","1.2","2.01","12.6"
"Anivia","MID","Good","52.9","0.91","52.56","78.92","2.61","2.78","2.50","12.6"
"Anivia","SUPPORT","Bad","26.89","1.57","46.26","13.26","0.41","2.77","2.10","12.6"
"Annie","MID","Good","47.45","2.48","51.84","81.41","1.78","0.71","2.29","12.6"
"Annie","SUPPORT","Bad","24.92","0","45.79","10.81","0.22","0.74","2.03","12.6"
"Aphelios","ADC","Bad","30.87","-6.86","46.28","96.99","5.29","1.2","1.90","12.6"
"Ashe","ADC","Good","48.17","1.22","50.79","78.6","6.66","1.1","2.36","12.6"
"Ashe","SUPPORT","Weak","36.54","9.71","49.08","17.41","1.26","1.1","2.34","12.6"
"Aurelion Sol","MID","Fair","43.92","-0.28","50.98","88.94","0.92","0.34","2.47","12.6"
"Azir","MID","Weak","39.32","6.21","47.71","85.05","2.2","0.43","1.98","12.6"
"Azir","TOP","Bad","22","0","46.45","10.62","0.25","0.43","1.62","12.6"
"Bard","SUPPORT","Fair","41.69","-0.38","48.36","95.7","2.61","0.53","2.76","12.6"
"Blitzcrank","SUPPORT","Strong","69.35","-3.16","50.87","98.52","7.66","19.6","2.44","12.6"
"Brand","SUPPORT","Good","48.68","6.52","51.04","73.35","3.99","5.81","1.82","12.6"
"Brand","MID","Weak","39.41","0.1","49.97","15.49","0.91","6.32","1.94","12.6"
"Braum","SUPPORT","Fair","42.84","7.84","49.88","98.43","2.05","0.34","2.77","12.6"
"Caitlyn","ADC","Good","53.79","-3.4","48.13","96.63","10.77","8.72","2.14","12.6"
"Camille","TOP","Strong","63.55","-1.83","49.79","95.01","5.76","4.41","1.86","12.6"
"Cassiopeia","MID","Fair","45.25","0.34","51.18","69.41","1.86","1.45","2.05","12.6"
"Cassiopeia","TOP","Weak","37.97","4.32","52.31","17.69","0.48","1.45","1.85","12.6"
"Cassiopeia","ADC","Bad","31.08","-2.89","50.73","11.76","0.29","1.45","2.32","12.6"
"Cho'Gath","TOP","Good","48.68","2.2","51.23","64.48","2.5","0.98","2.09","12.6"
"Cho'Gath","MID","Fair","44.99","-0.81","52.28","21.66","0.69","0.98","2.35","12.6"
"Corki","MID","Weak","39.51","-3.55","47.48","90.96","2.18","0.61","2.10","12.6"
"Darius","TOP","God ","91.61","16.95","50.49","91.67","8.77","19.15","1.78","12.6"
"Diana","JUNGLE","God ","73.75","-2.59","52.08","85.59","10.3","14.2","2.48","12.6"
"Diana","MID","Good","46.92","0.13","51.93","13.18","1.62","14.2","2.10","12.6"
"Dr. Mundo","TOP","Fair","45.69","-3.2","50.5","86.12","2.27","1.64","2.07","12.6"
"Draven","ADC","Fair","42.33","0.34","49.51","93.73","5.67","10.55","2.09","12.6"
"Ekko","JUNGLE","Good","57.44","0.75","51.8","64.73","5.64","3.88","2.71","12.6"
"Ekko","MID","Good","48.13","-0.09","50.52","32.67","2.77","3.88","2.21","12.6"
"Elise","JUNGLE","Fair","43.76","1.28","50.71","91.4","1.95","1.1","2.57","12.6"
"Evelynn","JUNGLE","Fair","45.57","-1.22","48.67","98.04","3.59","6.43","2.72","12.6"
"Ezreal","ADC","Strong","65.64","-0.64","48.49","94.13","15.21","4.03","2.27","12.6"
"Fiddlesticks","JUNGLE","Fair","45.81","0.21","50.34","90.78","2.84","1.97","2.62","12.6"
"Fiora","TOP","God ","73.69","-4.36","51.19","97.42","6.35","13.98","1.73","12.6"
"Fizz","MID","Good","55.37","1.45","51.72","95.01","3.84","5.44","2.41","12.6"
"Galio","MID","Good","51.26","3.18","52.45","62.5","1.93","0.44","2.70","12.6"
"Galio","SUPPORT","Bad","34","3.02","48.38","33.29","1.05","0.44","2.26","12.6"
"Gangplank","TOP","Strong","60.22","-1.83","47.27","86.47","6.03","4.74","1.95","12.6"
"Gangplank","MID","Weak","35.81","-3.2","47.63","13.13","0.97","4.73","2.09","12.6"
"Garen","TOP","Strong","68.54","-4.18","50.55","85.69","6.32","3.49","1.91","12.6"
"Gnar","TOP","Good","53.23","0.81","50.73","96.73","3.82","0.82","1.85","12.6"
"Gragas","TOP","Fair","40.66","3.45","48.4","58.37","2.25","0.36","2.06","12.6"
"Gragas","MID","Fair","40.64","0","50.52","10.81","0.4","0.35","2.35","12.6"
"Gragas","JUNGLE","Weak","36.17","-3.36","48.31","20.55","0.7","0.36","2.71","12.6"
"Gragas","SUPPORT","Bad","28.03","2.98","46.87","10.03","0.34","0.35","2.15","12.6"
"Graves","JUNGLE","Strong","62.5","0.16","50.72","68.04","7.99","7.63","2.61","12.6"
"Graves","TOP","Good","46.88","-3.81","50.23","25.24","2.86","7.63","1.68","12.6"
"Gwen","TOP","Bad","32.93","-0.71","46.85","77.48","2.04","1.79","1.60","12.6"
