"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Aatrox","TOP","God ","77.17","-5.29","49.54","92.59","7.61","6.47","1.84","12.9"
"Ahri","MID","God ","80.34","-7.49","50.38","94.77","10.83","13.1","2.41","12.9"
"Akali","MID","Strong","62.64","-0.47","49.61","64.32","6.53","15.19","2.26","12.9"
"Akali","TOP","Good","49.62","-1.6","48.14","34.81","3.32","15.19","1.98","12.9"
"Akshan","MID","Good","52.54","1.41","50.97","61.05","3.64","10.18","2.13","12.9"
"Akshan","TOP","Fair","44.81","4.4","51.57","29.06","1.66","10.18","1.88","12.9"
"Alistar","SUPPORT","Good","47.79","0.68","50.26","96.87","3.49","0.85","2.47","12.9"
"Amumu","JUNGLE","Weak","38.79","2.96","49.97","83.6","2.28","0.94","2.47","12.9"
"Amumu","SUPPORT","Bad","33.07","1.53","48.81","13.65","0.34","1.01","1.95","12.9"
"Anivia","MID","Good","50.53","-2.84","51.06","78.88","2.71","2.81","2.50","12.9"
"Anivia","SUPPORT","Bad","31.88","5.81","47.75","13.87","0.42","2.81","2.08","12.9"
"Annie","MID","Fair","43.52","-2.55","49.86","82.56","1.74","0.69","2.23","12.9"
"Annie","SUPPORT","Bad","26.92","-7.49","45.75","11.76","0.25","0.74","1.94","12.9"
"Aphelios","ADC","Weak","35.84","3.19","45.38","96.78","7.3","1.26","1.86","12.9"
"Ashe","ADC","Fair","46.51","-2.5","50.05","78.58","6.67","1.08","2.30","12.9"
"Ashe","SUPPORT","Weak","39.18","0.98","49.51","17.14","1.44","1.16","2.27","12.9"
"Aurelion Sol","MID","Weak","39.53","-3.42","49.37","85.9","0.76","0.34","2.25","12.9"
"Azir","MID","Weak","37.67","-4.52","47.2","81.99","1.75","0.38","2.03","12.9"
"Azir","TOP","Bad","22.29","0","46.63","12.99","0.26","0.36","1.74","12.9"
"Bard","SUPPORT","Good","48.82","-2.21","50.31","97.06","3.25","0.57","2.87","12.9"
"Blitzcrank","SUPPORT","Strong","63.13","-0.45","50.5","98.21","7.01","16.84","2.41","12.9"
"Brand","SUPPORT","Fair","44.29","1.33","49.97","68.46","3.32","4.88","1.77","12.9"
"Brand","MID","Fair","40.49","2.19","50.36","17.5","0.83","5.34","2.01","12.9"
"Braum","SUPPORT","Fair","43.77","4.16","48.63","98.06","2.7","0.4","2.84","12.9"
"Caitlyn","ADC","Good","48.84","-6.38","47.9","96.58","9.21","6.68","2.12","12.9"
