"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Aatrox","TOP","Fair","47.7","-10.13","45.6","76.83","5.82","4.95","1.82","9.24"
"Aatrox","MID","Fair","44.07","1.2","49.43","16.5","1.27","4.95","2.21","9.24"
"Ahri","MID","Strong","54.79","-1.77","50.37","92.06","6.26","3.45","2.60","9.24"
"Akali","TOP","Strong","62.86","-15.76","46.66","41.44","6.7","33.15","2.06","9.24"
"Akali","MID","Strong","59.17","-2.35","45.6","57.66","9.14","33.15","2.23","9.24"
"Alistar","SUPPORT","Weak","43.07","-4.39","48.14","96.35","3.22","0.63","2.39","9.24"
"Amumu","JUNGLE","Good","49.03","2.98","49.49","93.06","4.05","0.81","2.35","9.24"
"Anivia","MID","Good","50.65","0.63","52.03","76.86","1.48","0.52","3.00","9.24"
"Anivia","SUPPORT","Bad","29.53","-6.5","45.38","14.34","0.25","0.53","2.19","9.24"
"Annie","MID","Fair","46.96","-1.12","50.92","70.91","1.78","0.73","2.29","9.24"
"Annie","SUPPORT","Bad","37.52","-1.29","49.56","17.56","0.44","0.78","2.04","9.24"
"Aphelios","ADC","God ","90.97","0","49.78","84.13","13.27","58.15","2.19","9.24"
"Ashe","ADC","Good","53.07","-7.9","50.22","84.93","9.9","2.05","2.45","9.24"
"Ashe","SUPPORT","Bad","34.15","0","47.27","10.31","0.69","2.05","2.15","9.24"
"Aurelion Sol","MID","Good","49.77","-2.98","52.71","84.31","1.12","0.41","2.71","9.24"
"Azir","MID","Weak","39.3","0.58","46.38","85.19","1.31","0.41","1.97","9.24"
"Azir","TOP","Bad","36.06","0","47.56","11.65","0.15","0.39","1.88","9.24"
"Bard","SUPPORT","Strong","56.54","0.58","52.55","94.61","4.42","0.72","2.83","9.24"
"Blitzcrank","SUPPORT","God ","71.86","10.39","50.79","91.72","9.81","22.02","2.44","9.24"
"Brand","SUPPORT","Good","49.79","2.83","50.66","75.43","4.4","5.5","1.98","9.24"
"Brand","MID","Weak","42.97","0.43","48.99","17.21","1.07","6.68","2.14","9.24"
"Braum","SUPPORT","Good","50.74","5.23","49.17","95.39","4.87","1.12","2.76","9.24"
"Caitlyn","ADC","God ","85.06","-6.64","50.5","95.21","23.31","17.34","2.40","9.24"
"Camille","TOP","Strong","55.87","-3.13","51.07","74.04","5.09","1.45","2.01","9.24"
"Camille","MID","Fair","48.4","-0.54","53.03","13.04","0.9","1.45","2.34","9.24"
"Camille","JUNGLE","Weak","40.73","-4","47.7","11.46","0.68","1.45","2.19","9.24"
"Cassiopeia","MID","Strong","55.57","-4.59","53.44","67.48","4.82","10.84","2.24","9.24"
"Cassiopeia","TOP","Good","50.3","-0.72","53.6","15.21","1.16","10.84","2.00","9.24"
"Cassiopeia","ADC","Fair","47","6.78","54.53","16.05","1.2","10.84","2.48","9.24"
"Cho'Gath","MID","Fair","48.2","1.56","52.52","23.8","0.91","0.96","2.45","9.24"
"Cho'Gath","TOP","Fair","47.82","4.45","50.2","59.03","2.31","0.96","2.16","9.24"
"Cho'Gath","JUNGLE","Weak","40.33","-2.01","47.21","11.23","0.44","1.08","2.37","9.24"
"Corki","MID","Weak","40.54","0.88","47.08","73.96","0.6","0.29","2.34","9.24"
"Corki","ADC","Bad","26.67","9","46.15","18.46","0.15","0.33","2.40","9.24"
"Darius","TOP","God ","78.3","-12.66","50.26","89.91","9.27","33.02","2.01","9.24"
"Diana","MID","God ","66.99","14.53","52.53","66.59","10.5","23.68","2.16","9.24"
"Diana","TOP","Good","49.74","0","51.77","12.2","1.87","23.68","1.95","9.24"
"Diana","JUNGLE","Fair","45.45","3.47","47.97","19.84","3.15","23.68","2.16","9.24"
"Dr. Mundo","JUNGLE","Good","49.75","-5.12","50.95","58","2.35","2.39","2.40","9.24"
"Dr. Mundo","TOP","Good","48.68","3.43","51.37","38.76","1.89","2.54","2.13","9.24"
"Draven","ADC","Weak","41.41","0.93","49.27","92.1","5.11","11.06","2.14","9.24"
"Ekko","JUNGLE","God ","68.5","0.2","52.27","69.58","11.36","19.78","2.67","9.24"
"Ekko","MID","Good","51.06","-1.17","50.07","24.65","3.95","19.78","2.37","9.24"
"Elise","JUNGLE","Strong","60.2","1.87","51.89","98.15","7.9","8.69","2.50","9.24"
"Evelynn","JUNGLE","Fair","46.46","-2.17","47.9","98.59","3.46","8.28","2.50","9.24"
