"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Aatrox","TOP","Strong","75.02","3.47","49.34","92.82","7.26","5.47","1.87","12.7"
"Ahri","MID","God ","92.34","-2.35","51.92","94.13","13.77","16.33","2.50","12.7"
"Akali","MID","Strong","66.08","0.02","50.03","64.33","7.6","17.69","2.27","12.7"
"Akali","TOP","Good","52.51","-3.66","47.66","34.76","3.78","17.69","1.96","12.7"
"Akshan","MID","Good","50.97","-2.92","50.98","59.83","3.27","10.74","2.18","12.7"
"Akshan","TOP","Fair","41.91","-0.86","50.94","30.4","1.57","10.74","1.88","12.7"
"Alistar","SUPPORT","Good","47.58","3.2","50.18","95.39","3.52","0.83","2.47","12.7"
"Amumu","JUNGLE","Bad","30.47","-12.48","47.02","83.29","2.47","1.06","2.40","12.7"
"Amumu","SUPPORT","Bad","26.89","-6.93","46.74","13.7","0.31","1.12","1.95","12.7"
"Anivia","MID","Good","52.83","-0.07","52.93","76.51","2.46","2.73","2.52","12.7"
"Anivia","SUPPORT","Weak","31.61","4.72","48.35","15.26","0.43","2.73","2.17","12.7"
"Annie","MID","Fair","44.77","-2.68","50.37","80.43","1.8","0.77","2.24","12.7"
"Annie","SUPPORT","Bad","28.64","3.72","47.56","12.04","0.26","0.86","2.01","12.7"
"Aphelios","ADC","Bad","28.85","-2.02","46.02","97.18","5.45","1.06","1.90","12.7"
"Ashe","ADC","Good","48.23","0.07","51.09","77.08","6.45","1.13","2.33","12.7"
"Ashe","SUPPORT","Fair","38.13","1.59","49.38","18.43","1.45","1.13","2.35","12.7"
"Aurelion Sol","MID","Fair","45.29","1.37","51.68","87.94","0.91","0.34","2.41","12.7"
"Azir","MID","Fair","38.89","-0.43","47.67","86.75","1.8","0.33","2.05","12.7"
"Bard","SUPPORT","Fair","45.72","4.03","49.9","96.28","2.66","0.48","2.86","12.7"
"Blitzcrank","SUPPORT","Strong","67.11","-2.23","50.53","98.32","7.34","18.38","2.43","12.7"
"Brand","SUPPORT","Good","48.84","0.16","51.27","72.15","3.88","5.83","1.77","12.7"
"Brand","MID","Fair","42.17","2.76","51.19","14.99","0.84","6.35","1.96","12.7"
"Braum","SUPPORT","Fair","39.89","-2.96","48.38","98.01","2.03","0.34","2.75","12.7"
"Caitlyn","ADC","Good","56.68","2.9","48","96.38","10.85","8.05","2.13","12.7"
