"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Aatrox","TOP","Good","58.25","6.52","49.97","94.62","4.43","2.03","1.97","12.1"
"Ahri","MID","Good","53.21","-0.24","49.93","93.47","4.62","1.04","2.56","12.1"
"Akali","MID","Strong","65.3","6.51","48.59","65.65","8.16","12.88","2.34","12.1"
"Akali","TOP","Good","57.87","3.34","48.57","34.06","4.24","12.88","2.04","12.1"
"Akshan","MID","Strong","59.85","0.65","51.46","58.01","4.83","21.91","2.23","12.1"
"Akshan","TOP","Good","55.89","-0.46","51.58","33.45","2.71","21.91","1.97","12.1"
"Alistar","SUPPORT","Fair","46.08","-2.74","49.92","98.55","3.65","0.84","2.51","12.1"
"Amumu","JUNGLE","Fair","45.69","1.72","50.27","83.11","3.13","1.51","2.62","12.1"
"Amumu","SUPPORT","Weak","35.88","2.55","50.09","14.95","0.44","1.64","2.05","12.1"
"Anivia","MID","Good","53.38","-1.26","51.97","82.16","3.32","3.03","2.66","12.1"
"Anivia","SUPPORT","Bad","31.74","-1.46","47.66","12.51","0.44","3.03","2.18","12.1"
"Annie","MID","Good","48.81","6.23","52.45","85","2.17","0.71","2.39","12.1"
"Aphelios","ADC","Weak","35.96","-1.67","47.36","98.34","5.79","1.46","2.03","12.1"
"Ashe","ADC","Fair","43.08","-9.95","49.66","93.4","6.03","1.11","2.32","12.1"
"Aurelion Sol","MID","Fair","42.15","-2.74","50.81","91.23","0.89","0.25","2.55","12.1"
"Azir","MID","Bad","32.69","2.09","46.67","90.68","1.12","0.21","2.10","12.1"
"Bard","SUPPORT","Good","49.81","2.27","50.23","98.67","4.05","1","2.97","12.1"
"Blitzcrank","SUPPORT","Strong","67.8","-0.81","51.87","99.49","8.61","18.23","2.44","12.1"
"Brand","SUPPORT","Fair","45.21","-4.17","49.18","79.04","4.68","5.87","1.77","12.1"
"Brand","MID","Fair","41.21","1.44","51.68","12.83","0.82","6.43","2.04","12.1"
"Braum","SUPPORT","Good","46.74","2.77","50.73","99.4","2.87","0.39","2.79","12.1"
"Caitlyn","ADC","God ","88.48","-0.16","50.09","98.7","21.3","18.96","2.31","12.1"
"Camille","TOP","God ","84.61","9.6","50.2","96.8","7.17","7.54","1.99","12.1"
"Cassiopeia","MID","Fair","44.08","-2","50.3","71.9","2.43","1.36","2.09","12.1"
"Cassiopeia","TOP","Bad","26.2","-7.91","49.47","17.98","0.68","1.36","1.83","12.1"
"Cho'Gath","TOP","Good","52.76","2.64","52.82","72.56","2.59","0.95","2.20","12.1"
"Cho'Gath","MID","Weak","37.75","-4.65","49.57","17.42","0.55","0.95","2.37","12.1"
"Corki","MID","Good","58.2","0.29","49.38","92.76","6.79","3.91","2.17","12.1"
"Darius","TOP","God ","83.96","16.49","50.37","95.85","6.58","15.17","1.87","12.1"
"Diana","JUNGLE","God ","82.96","44.71","51.46","83.98","12.19","12.81","2.49","12.1"
"Diana","MID","Good","49.05","4.03","52.62","15.14","2.17","12.81","2.20","12.1"
"Dr. Mundo","TOP","Strong","62.73","-2.08","51.76","91.81","4.06","2.97","2.26","12.1"
"Draven","ADC","Fair","46.38","-4.53","50.52","95.9","6.3","12.39","2.16","12.1"
"Ekko","JUNGLE","Good","55.93","-1.56","49.91","64.39","6.16","4.09","2.74","12.1"
"Ekko","MID","Good","46.78","0.91","49.67","33.37","3.26","4.09","2.24","12.1"
"Elise","JUNGLE","Fair","40.59","-3.1","49.48","94.98","2.22","1.66","2.56","12.1"
"Evelynn","JUNGLE","Good","48.04","-1.54","49.64","98.86","3.46","8.85","2.94","12.1"
"Ezreal","ADC","God ","75.98","1.83","49.28","97.47","20.07","5.2","2.39","12.1"
"Fiddlesticks","JUNGLE","Fair","46.01","-1.29","50.54","92.05","2.91","2.86","2.68","12.1"
"Fiora","TOP","Strong","75.08","4.32","50.05","97.65","6.08","10.76","1.76","12.1"
"Fizz","MID","Good","52.25","1.44","50.83","96.26","3.83","4.53","2.46","12.1"
"Galio","MID","Good","46.86","0.84","50.38","63.28","2.28","0.54","2.71","12.1"
"Galio","SUPPORT","Weak","36.89","-1.3","48.87","33.91","1.22","0.54","2.35","12.1"
"Gangplank","TOP","Strong","65.59","14.31","47.66","87.34","5.92","4.44","1.99","12.1"
"Gangplank","MID","Weak","36.57","3.4","48.67","12.95","0.9","4.41","2.23","12.1"
"Garen","TOP","Strong","73.99","15.67","51.55","87.46","5.74","2.13","2.10","12.1"
"Gnar","TOP","Good","47.1","4.58","49.86","97.87","3.05","0.6","2.01","12.1"
"Gragas","TOP","Weak","37.47","-2.35","48.75","39.67","1.96","0.32","2.24","12.1"
"Gragas","JUNGLE","Weak","36.1","-7.55","48","40.6","1.64","0.32","2.70","12.1"
"Gragas","SUPPORT","Bad","32.15","-2.55","47.64","11.54","0.49","0.32","2.25","12.1"
"Graves","JUNGLE","Strong","59.84","-9.95","49.28","67.07","7.51","9.44","2.58","12.1"
"Graves","TOP","Fair","42.78","-7.19","49.1","25.53","2.75","9.44","1.72","12.1"
"Gwen","TOP","Good","54.66","13.03","49.82","82.83","4.23","2.43","1.73","12.1"
"Gwen","JUNGLE","Weak","38.68","5.74","51.35","13.4","0.7","2.43","2.36","12.1"
"Hecarim","JUNGLE","Strong","71.27","12.91","51.18","99.23","8.94","8.04","3.02","12.1"
"Heimerdinger","MID","Weak","35.89","-1.34","49.28","35.85","0.8","0.81","1.96","12.1"
"Heimerdinger","ADC","Weak","34.01","-1.93","51.76","15.56","0.29","0.81","2.23","12.1"
"Heimerdinger","SUPPORT","Weak","33.85","-1.74","49.85","10.09","0.2","0.92","1.83","12.1"
"Heimerdinger","TOP","Bad","24.16","-8.38","48.87","38.86","0.8","0.81","1.65","12.1"
"Illaoi","TOP","Weak","34.11","-3.45","49.16","92.36","2.07","2.53","1.49","12.1"
"Irelia","TOP","God ","81.35","-5.02","49.1","60","6.24","23.51","1.58","12.1"
"Irelia","MID","Good","48.07","-1.08","48.24","39.17","4.1","23.51","1.75","12.1"
"Ivern","JUNGLE","Weak","38.83","1.46","48.09","85.02","1.21","0.34","3.41","12.1"
"Janna","SUPPORT","Good","51.92","-3.82","50.56","95.2","4.6","0.57","3.00","12.1"
"Jarvan IV","JUNGLE","Good","54.92","4.21","51.04","93.41","4.22","0.54","3.37","12.1"
"Jax","TOP","God ","82.16","3.63","50.68","85.79","6.84","10.98","1.63","12.1"
"Jax","JUNGLE","Weak","34.7","-5.49","49.4","13.26","1.11","10.39","2.13","12.1"
"Jayce","TOP","Strong","73.56","-5.02","49.44","74.77","6.54","4.13","1.78","12.1"
"Jayce","MID","Fair","39.29","-2.3","48.62","24.13","1.97","4.13","2.05","12.1"
"Jhin","ADC","God ","94.23","3.23","51.03","99.02","24.55","5.81","3.01","12.1"
"Jinx","ADC","God ","86.76","-1.22","51.32","99.51","22.27","6.98","2.43","12.1"
