"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Aatrox","TOP","Strong","72.19","-5.85","49.43","92.34","7.01","4.24","1.89","12.5"
"Ahri","MID","God ","89.47","-5.98","51.54","92.89","12.5","13.82","2.49","12.5"
"Akali","MID","Strong","68","-1.6","48.85","61.87","7.92","18.92","2.30","12.5"
"Akali","TOP","Strong","59.59","3.36","48.24","37.35","4.53","18.92","2.01","12.5"
"Akshan","MID","Good","53.74","0.8","51.51","56.39","3.47","13.97","2.22","12.5"
"Akshan","TOP","Fair","44.34","-5.41","50.51","33.88","1.97","13.97","1.93","12.5"
"Alistar","SUPPORT","Fair","45.7","1.8","50.64","96.81","3.56","0.8","2.50","12.5"
"Amumu","JUNGLE","Fair","44.12","-0.12","49.76","84.03","2.74","1.33","2.50","12.5"
"Amumu","SUPPORT","Weak","33.72","-3.31","52","13.25","0.32","1.43","2.04","12.5"
"Anivia","MID","Good","52","-1.61","52.07","77.74","2.63","2.82","2.53","12.5"
"Anivia","SUPPORT","Bad","25.32","-8.08","47.77","14.4","0.39","2.82","2.12","12.5"
"Annie","MID","Fair","44.97","-4.05","50.54","81.69","1.85","0.71","2.24","12.5"
"Aphelios","ADC","Weak","37.73","-7.63","46.57","97.21","7.7","1.7","1.95","12.5"
"Ashe","ADC","Good","46.95","1.39","50.85","84.43","6.42","0.95","2.36","12.5"
"Ashe","SUPPORT","Bad","26.83","0","47.23","12.2","0.84","0.95","2.32","12.5"
"Aurelion Sol","MID","Fair","44.2","-6.31","50.87","87.31","1.04","0.36","2.49","12.5"
"Azir","MID","Bad","33.12","-0.38","45.61","87.03","1.39","0.27","1.96","12.5"
"Bard","SUPPORT","Fair","42.07","-4.25","49.75","96.36","2.67","0.49","2.88","12.5"
"Blitzcrank","SUPPORT","Strong","72.51","13.09","50.48","98.01","8.41","20.73","2.41","12.5"
"Brand","SUPPORT","Fair","42.16","-4.08","49.27","71.23","4","5.71","1.78","12.5"
"Brand","MID","Weak","39.31","-2.87","49.86","16.41","0.93","5.71","1.93","12.5"
"Braum","SUPPORT","Weak","35.01","-4.87","48.09","97.99","2.02","0.33","2.69","12.5"
"Caitlyn","ADC","Good","57.19","1.67","47.94","96.93","12.42","10.2","2.15","12.5"
"Camille","TOP","Strong","65.37","-1.71","49.72","94.79","5.82","4.64","1.87","12.5"
"Cassiopeia","MID","Fair","44.91","-4.06","50.48","69.77","2.19","1.76","2.02","12.5"
"Cassiopeia","ADC","Weak","33.97","-7.3","52.04","11.57","0.37","1.76","2.26","12.5"
"Cassiopeia","TOP","Weak","33.65","-0.07","50.81","17.42","0.56","1.76","1.84","12.5"
"Cho'Gath","TOP","Fair","46.47","-1.53","50.42","64.7","2.5","0.98","2.08","12.5"
"Cho'Gath","MID","Fair","45.79","10.23","52.69","21.93","0.67","0.98","2.40","12.5"
"Corki","MID","Fair","43.06","-1.74","48.46","91.2","2.63","0.97","2.10","12.5"
"Darius","TOP","God ","74.66","-4.68","49.53","92.81","6.63","14.96","1.77","12.5"
"Diana","JUNGLE","God ","76.34","-3.47","52.1","85.94","10.74","13.96","2.47","12.5"
"Diana","MID","Fair","46.79","-1.54","51.97","12.68","1.58","13.96","2.12","12.5"
"Dr. Mundo","TOP","Good","48.88","2.24","51.9","84.87","2.3","1.94","2.09","12.5"
"Draven","ADC","Fair","41.98","-1.03","49.59","93.76","5.78","9.48","2.09","12.5"
"Ekko","JUNGLE","Good","56.68","-1.51","51.09","62.49","5.63","3.85","2.71","12.5"
"Ekko","MID","Good","48.22","1.94","50.14","34.86","3.05","3.85","2.19","12.5"
"Elise","JUNGLE","Fair","42.47","-1.09","49.84","93.41","2.04","1.12","2.54","12.5"
"Evelynn","JUNGLE","Fair","46.8","2.25","49.17","98.53","3.41","6.37","2.77","12.5"
"Ezreal","ADC","Strong","66.29","4.49","48.26","94.28","16.33","3.94","2.29","12.5"
"Fiddlesticks","JUNGLE","Fair","45.6","0.35","49.98","90.92","2.91","2.14","2.59","12.5"
"Fiora","TOP","God ","78.04","-1.65","51.09","97.28","6.7","13.68","1.72","12.5"
"Fizz","MID","Good","53.91","2.5","50.94","94.44","3.88","5.52","2.41","12.5"
"Galio","MID","Good","48.07","2.19","51.13","61.47","1.83","0.4","2.65","12.5"
"Galio","SUPPORT","Bad","30.98","-9.79","48.73","34.66","1.03","0.4","2.36","12.5"
"Gangplank","TOP","Strong","62.05","-1.65","48.2","85.62","5.78","4.37","1.96","12.5"
"Gangplank","MID","Weak","39.01","5.56","49.15","12.89","0.95","4.37","2.13","12.5"
"Garen","TOP","God ","72.72","-2.79","50.78","86.46","6.55","3.29","1.97","12.5"
"Gnar","TOP","Good","52.42","-1.49","48.87","96.84","4.34","0.92","1.83","12.5"
"Gragas","JUNGLE","Weak","39.53","4.55","49.59","22.32","0.8","0.31","2.75","12.5"
"Gragas","TOP","Weak","37.21","-4.12","47.11","56.71","2.26","0.31","2.09","12.5"
"Gragas","SUPPORT","Bad","25.05","0","47.41","10.53","0.36","0.31","2.26","12.5"
"Graves","JUNGLE","Strong","62.33","-2.51","50.62","62.76","7.61","8.07","2.64","12.5"
"Graves","TOP","Good","50.69","-18.84","49.61","30.68","3.63","8.07","1.69","12.5"
"Gwen","TOP","Weak","33.64","-30.46","45.68","61.78","2.66","5.2","1.60","12.5"
"Gwen","JUNGLE","Bad","28.95","-21.49","45.06","34.59","1.5","5.2","2.15","12.5"
"Hecarim","JUNGLE","God ","83.62","6.71","51.21","99.04","10.84","22.23","3.05","12.5"
"Heimerdinger","MID","Fair","39.83","-3.24","50.39","37.64","0.91","1.08","1.89","12.5"
"Heimerdinger","ADC","Weak","39.3","-2.72","54.78","17.11","0.3","1.08","2.18","12.5"
"Heimerdinger","TOP","Bad","29.33","3.9","49.07","35.36","0.81","1.08","1.59","12.5"
"Illaoi","TOP","Good","47.34","-4.16","51.05","93.48","3","3.75","1.47","12.5"
"Irelia","TOP","God ","83.11","-6.35","50.08","57.85","7.15","22.15","1.60","12.5"
"Irelia","MID","Good","57.11","5.96","50.3","40.53","5","22.15","1.81","12.5"
"Ivern","JUNGLE","Fair","41.38","-0.21","48.6","80.99","1.17","0.41","3.28","12.5"
"Janna","SUPPORT","Strong","65.44","9.2","53.4","98.06","6.04","2.52","3.24","12.5"
"Jarvan IV","JUNGLE","Good","49.78","-4.17","49.46","91.91","3.74","0.48","3.15","12.5"
"Jax","TOP","Strong","62.21","-4.73","50.04","81.66","5.37","8.15","1.55","12.5"
"Jax","JUNGLE","Bad","31.32","-2.95","47.23","15.2","1.04","8.15","1.99","12.5"
"Jayce","TOP","Good","59.4","1.26","47.83","84.52","5.9","2","1.72","12.5"
"Jayce","MID","Weak","38.66","-4.87","49.36","13.78","0.86","2","2.05","12.5"
"Jhin","ADC","God ","81.84","6.03","51.07","97.83","18.11","4.91","2.89","12.5"
