"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Aatrox","TOP","Strong","59.99","4.88","48.06","92.58","5.03","2.15","1.87","12.3"
"Ahri","MID","God ","95.22","39.37","53.4","94.04","15.29","8.93","2.59","12.3"
"Akali","TOP","Strong","74.79","-12.94","48.48","41.25","5.1","20.26","2.08","12.3"
"Akali","MID","Strong","64.77","-9.81","49.1","58.1","7.51","20.26","2.33","12.3"
"Akshan","MID","Good","54.42","-9.08","50.75","59.43","4.14","18.73","2.18","12.3"
"Akshan","TOP","Fair","40.57","-16.3","49.62","31.36","2.06","18.73","1.93","12.3"
"Alistar","SUPPORT","Fair","43","-0.56","49.98","96.98","3.11","0.65","2.50","12.3"
"Amumu","JUNGLE","Fair","44.95","-8.6","51.06","85.43","2.8","1.43","2.41","12.3"
"Amumu","SUPPORT","Bad","29.3","-2.07","49.13","10.96","0.33","1.67","1.98","12.3"
"Anivia","MID","Good","52.75","-1.9","52.46","80","2.77","2.92","2.57","12.3"
"Anivia","SUPPORT","Bad","31.19","5.53","49.43","13.07","0.42","2.9","2.18","12.3"
"Annie","MID","Good","47.39","1.7","51.74","84.73","1.79","0.64","2.37","12.3"
"Aphelios","ADC","Fair","43.7","6.18","47.49","97.83","8.43","1.45","2.05","12.3"
"Ashe","ADC","Fair","45.08","8.2","50.04","90.27","4.87","0.86","2.32","12.3"
"Aurelion Sol","MID","Fair","45.15","3.37","51.39","88.89","1.07","0.32","2.47","12.3"
"Azir","MID","Weak","36.5","2.6","47.17","91.03","1.35","0.24","2.05","12.3"
"Bard","SUPPORT","Fair","43.52","-4.83","49.02","91.85","3.3","0.78","2.90","12.3"
"Blitzcrank","SUPPORT","Strong","74.26","1.32","52.29","98.29","8.74","19.48","2.46","12.3"
"Brand","SUPPORT","Fair","45.88","4.43","51.05","69.87","3.9","5.35","1.84","12.3"
"Brand","ADC","Fair","42.64","0","52.18","11.72","0.47","5.35","2.20","12.3"
"Brand","MID","Fair","39.84","1.97","49.94","15.98","0.88","5.83","1.98","12.3"
"Braum","SUPPORT","Fair","40.71","0.26","49.74","98.14","2.23","0.3","2.77","12.3"
"Caitlyn","ADC","Good","56.81","-27.42","47.97","97.73","14.93","15.56","2.19","12.3"
"Camille","TOP","God ","77.72","-4.16","49.93","95.98","6.04","5.64","1.90","12.3"
"Cassiopeia","MID","Good","47.89","0.28","52.08","68.57","2.16","1.47","2.11","12.3"
"Cassiopeia","ADC","Fair","44.97","0","52.85","12.54","0.44","1.47","2.43","12.3"
"Cassiopeia","TOP","Bad","22.56","-5.86","50.12","17.92","0.58","1.47","1.88","12.3"
"Cho'Gath","MID","Fair","45.74","6.99","52.89","19.49","0.53","0.87","2.37","12.3"
"Cho'Gath","TOP","Fair","44.36","-2.69","50.77","67.99","2.49","0.87","2.11","12.3"
"Corki","MID","Fair","44.44","-23.58","46.03","92.93","4.6","3.46","2.04","12.3"
"Darius","TOP","God ","88.09","4.92","50.1","94.03","6.39","14.75","1.83","12.3"
"Diana","JUNGLE","God ","84.9","-6.39","52.29","85.23","11.65","17","2.48","12.3"
"Diana","MID","Good","47.18","0.6","51.77","13.35","1.74","17","2.14","12.3"
"Dr. Mundo","TOP","Good","57.67","-0.47","51.95","89.17","3.4","2.68","2.18","12.3"
"Draven","ADC","Fair","44.25","-0.57","49.77","94.52","5.06","8.91","2.11","12.3"
"Ekko","JUNGLE","Good","54.49","-2.72","50.47","65.25","5.49","3.51","2.69","12.3"
"Ekko","MID","Fair","45.95","-3.09","49.76","32.09","2.62","3.51","2.23","12.3"
"Elise","JUNGLE","Fair","41.49","0.08","50.48","92.7","1.97","1.22","2.51","12.3"
"Evelynn","JUNGLE","Fair","43.12","-4.87","47.82","98.21","3.52","7.23","2.78","12.3"
"Ezreal","ADC","Strong","61.47","-9.74","49.18","96.44","18.18","4.43","2.36","12.3"
"Fiddlesticks","JUNGLE","Good","47.98","3.35","51.71","90.8","2.84","2.24","2.67","12.3"
"Fiora","TOP","God ","87.66","9.35","49.82","97.43","6.7","11.89","1.71","12.3"
"Fizz","MID","Good","52.7","-0.21","51.15","95.49","3.69","4.75","2.42","12.3"
"Galio","MID","Good","47.47","3.42","50.9","61","1.91","0.45","2.62","12.3"
"Galio","SUPPORT","Bad","30.49","1.85","47.83","35.19","1.07","0.45","2.29","12.3"
"Gangplank","TOP","Strong","70.48","9.67","48.92","86.33","5.63","4.06","2.01","12.3"
"Gangplank","MID","Weak","38.23","0.39","48.34","13.35","0.93","4.12","2.21","12.3"
"Garen","TOP","God ","82.01","4.69","51.13","87.32","6.21","3.12","2.00","12.3"
"Gnar","TOP","Fair","41.53","-5.84","48.8","94.95","2.94","0.58","1.90","12.3"
"Gragas","TOP","Fair","46.72","4.06","49.22","54.17","3.12","0.52","2.20","12.3"
"Gragas","JUNGLE","Weak","37.69","3.09","48.8","29.71","1.53","0.52","2.74","12.3"
"Graves","JUNGLE","Strong","65.56","9.64","51.09","69.56","8.13","6.91","2.63","12.3"
"Graves","TOP","Fair","42.75","5.97","49.76","23.87","2.73","6.91","1.72","12.3"
"Gwen","TOP","God ","77.29","10.76","48.59","64.8","6.35","7.75","1.70","12.3"
"Gwen","JUNGLE","Fair","45.3","7.61","50.04","32.14","3.29","7.75","2.40","12.3"
"Hecarim","JUNGLE","Strong","66.99","-13.62","49.67","98.67","8.35","13.53","2.88","12.3"
"Heimerdinger","ADC","Fair","43.02","7.81","52.83","12.6","0.28","1.25","2.11","12.3"
