"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Aatrox","TOP","God ","69.81","3.64","49.21","92.95","7.22","5.42","1.97","12.11"
"Ahri","MID","God ","77.89","-1.57","50.44","95.06","10.09","9.11","2.63","12.11"
"Akali","MID","Strong","57.72","1.68","47.85","67.77","6.23","11.83","2.36","12.11"
"Akali","TOP","Fair","43.82","-0.9","47.21","31.3","2.78","11.83","2.05","12.11"
"Akshan","MID","Fair","48.13","0.58","50.03","60.46","2.89","7.64","2.23","12.11"
"Akshan","TOP","Weak","39.74","-3.89","48.98","31.6","1.64","7.64","1.92","12.11"
"Alistar","SUPPORT","Fair","43.49","1.16","49.4","96.26","2.66","0.64","2.45","12.11"
"Amumu","JUNGLE","Fair","43.64","4.15","49.3","85.11","2.23","0.96","2.56","12.11"
"Amumu","SUPPORT","Bad","35.43","0.22","49.24","12.62","0.26","0.96","2.00","12.11"
"Anivia","MID","Good","52.6","-3.62","51.38","81.18","2.87","3.69","2.65","12.11"
"Anivia","SUPPORT","Bad","32.29","-2.32","46.94","12.35","0.37","3.62","2.16","12.11"
"Annie","MID","Weak","40.98","-2.28","48.83","82.75","1.6","0.61","2.32","12.11"
"Annie","SUPPORT","Bad","29.18","-8.31","45.68","10.4","0.2","0.65","2.04","12.11"
"Aphelios","ADC","Weak","37.39","6.63","47.44","97.17","5.88","0.97","1.99","12.11"
"Ashe","SUPPORT","Good","53.46","14.88","49.05","46.67","6.65","2.97","2.47","12.11"
"Ashe","ADC","Good","48.98","-4.63","50.07","50.52","7.16","2.97","2.42","12.11"
"Aurelion Sol","MID","Weak","41.87","0.02","49.89","87","0.97","0.35","2.48","12.11"
"Azir","MID","Weak","40.93","-2.37","47.23","87.34","2.81","0.62","2.14","12.11"
"Bard","SUPPORT","Good","49.59","-1.8","50.67","96.54","3.32","0.65","3.04","12.11"
"Bel'Veth","JUNGLE","God ","91.42","0","50.2","88.26","18.99","33.91","2.27","12.11"
"Blitzcrank","SUPPORT","Good","54.59","-3.42","49.89","98.32","5.76","13.76","2.45","12.11"
"Brand","SUPPORT","Good","48.13","-0.2","51.14","68.11","3.82","5.64","1.91","12.11"
"Brand","MID","Fair","42.28","-5.26","50.65","21.23","1.13","6.19","2.10","12.11"
"Braum","SUPPORT","Fair","45.35","-2.44","50.53","97.54","2.02","0.35","2.86","12.11"
"Caitlyn","ADC","Good","50.62","5.53","47.35","96.72","9.83","5.59","2.18","12.11"
"Camille","TOP","Strong","57.6","-6.23","50.01","94.57","4.73","2.8","1.97","12.11"
"Cassiopeia","MID","Fair","45.13","-0.67","50.3","74.7","2.21","1.68","2.12","12.11"
"Cassiopeia","TOP","Bad","35.3","2.15","50.47","14.43","0.41","1.72","1.82","12.11"
"Cho'Gath","MID","Fair","42.19","2.09","51.27","17.07","0.52","0.88","2.29","12.11"
"Cho'Gath","TOP","Weak","41.84","-1.41","48.5","67.73","2.22","0.82","2.06","12.11"
"Corki","MID","Weak","40.4","-1.86","48.87","90.51","1.47","0.29","2.27","12.11"
"Darius","TOP","God ","92.17","-0.77","51.71","93.78","9.08","18.49","1.90","12.11"
"Diana","JUNGLE","Strong","62.19","-4.51","52.53","81.9","8.45","6.94","2.58","12.11"
"Diana","MID","Fair","47.69","2.3","51.97","17.16","1.73","7.03","2.20","12.11"
"Dr. Mundo","TOP","Strong","58.48","8.22","53.98","85.46","2.98","1.6","2.32","12.11"
"Draven","ADC","Good","48.33","7.4","52.02","94.12","5.58","9.87","2.20","12.11"
"Ekko","JUNGLE","Good","52.86","-2","51.59","61.47","4.03","2.5","2.88","12.11"
"Ekko","MID","Good","49.25","6.05","51.4","35.95","2.35","2.5","2.37","12.11"
"Elise","JUNGLE","Fair","44.54","14.89","50.46","92.28","1.19","0.6","2.69","12.11"
"Evelynn","JUNGLE","Fair","42.19","5.26","47.64","98.05","2.53","3.89","2.78","12.11"
"Ezreal","ADC","God ","81.72","-8.49","48.9","95.29","19.29","4.83","2.46","12.11"
"Fiddlesticks","JUNGLE","Fair","45.66","0.37","50.33","84.28","2.14","1.32","2.61","12.11"
"Fiora","TOP","God ","89.55","1.67","52.8","97.47","8.01","20.17","1.86","12.11"
"Fizz","MID","Good","49.85","-1.17","49.88","95.24","3.23","4.98","2.44","12.11"
"Galio","MID","Fair","43.81","-4.77","48.75","80.33","2.16","0.36","2.53","12.11"
"Galio","SUPPORT","Weak","36.85","0.08","49.11","18.44","0.48","0.37","2.29","12.11"
"Gangplank","TOP","God ","74.84","-14.02","47.3","79.51","8.08","12.69","2.03","12.11"
"Gangplank","MID","Fair","42.8","2.14","48.41","20.47","2.19","12.54","2.26","12.11"
"Garen","TOP","God ","66.39","-3.51","51.68","84.6","5.7","2.64","2.04","12.11"
"Gnar","TOP","Good","48.23","0.33","48.89","96.47","3.45","0.69","1.96","12.11"
"Gragas","JUNGLE","Good","50.85","22.15","52.62","29.19","1.25","0.43","3.15","12.11"
"Gragas","MID","Fair","44.66","3.29","51.68","15.01","0.67","0.42","2.51","12.11"
"Gragas","TOP","Fair","42","7.89","48.02","46.39","2.35","0.43","2.14","12.11"
"Graves","JUNGLE","Good","53.37","-24.73","48.49","76.8","7.67","8.03","2.60","12.11"
"Graves","TOP","Bad","33.94","-4.46","47.25","15.8","1.49","8.03","1.66","12.11"
"Gwen","TOP","Good","50.1","-25.12","46.71","80.74","4.8","6.08","1.62","12.11"
"Gwen","JUNGLE","Bad","35.18","-3.07","46.88","14.83","0.84","5.55","2.24","12.11"
"Hecarim","JUNGLE","Fair","47.52","3.29","49.62","98.22","2.97","1.72","2.97","12.11"
"Heimerdinger","MID","Weak","41.07","-0.24","50.91","44.09","0.86","0.99","1.99","12.11"
"Heimerdinger","SUPPORT","Bad","35","0","49.29","11.39","0.18","0.99","1.91","12.11"
"Heimerdinger","ADC","Bad","31.08","7.66","51.83","12.77","0.2","0.99","2.09","12.11"
"Heimerdinger","TOP","Bad","30.36","7.06","48.27","31.27","0.59","0.99","1.59","12.11"
"Illaoi","TOP","Good","54.78","11","54.1","92.42","3.07","4.72","1.46","12.11"
"Irelia","TOP","Strong","65.57","2.73","49.13","52.45","5.81","19.72","1.62","12.11"
"Irelia","MID","Good","54.32","5.65","49.11","45.67","5","19.72","1.78","12.11"
"Ivern","JUNGLE","Weak","37.88","0.51","46.24","74.96","0.81","0.36","3.13","12.11"
"Ivern","SUPPORT","Bad","24.41","-8.95","42.17","11.37","0.12","0.34","2.47","12.11"
"Janna","SUPPORT","Strong","63.56","1.29","53.9","98.54","6.09","1.7","3.33","12.11"
"Jarvan IV","JUNGLE","Fair","45.5","3.12","48.82","87.08","1.99","0.26","3.26","12.11"
"Jax","TOP","Strong","65.4","-3.86","50.82","84.32","5.84","9.51","1.67","12.11"
