"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Aatrox","TOP","Good","51.73","8.08","49.5","91.27","3.89","2.11","1.97","11.24"
"Ahri","MID","Good","53.44","2.13","50.96","88.87","4.33","1.12","2.52","11.24"
"Akali","MID","Strong","58.8","1.32","47.99","61.43","7.56","10.5","2.26","11.24"
"Akali","TOP","Good","54.53","4","48.19","38.09","4.46","10.5","2.03","11.24"
"Akshan","MID","Strong","59.2","6.66","52.72","54.03","4.59","17.21","2.26","11.24"
"Akshan","TOP","Good","56.35","15.02","51.65","34.58","3.12","17.21","1.95","11.24"
"Akshan","ADC","Weak","36.53","0.67","51.83","10.42","0.77","16.03","2.26","11.24"
"Alistar","SUPPORT","Good","48.82","-0.83","51.1","97.6","3.85","1.08","2.44","11.24"
"Amumu","JUNGLE","Fair","43.97","-2.3","49.64","77.51","2.8","1.87","2.59","11.24"
"Amumu","SUPPORT","Bad","33.33","-6.33","49.12","21.2","0.6","1.94","2.02","11.24"
"Anivia","MID","Good","54.63","5.45","53.49","76.17","2.86","2.81","2.64","11.24"
"Anivia","SUPPORT","Bad","33.19","-0.87","48.72","16.28","0.54","2.83","2.20","11.24"
"Annie","MID","Fair","42.58","-2.35","49.81","79.8","2.01","0.89","2.26","11.24"
"Annie","SUPPORT","Bad","31.76","0.04","48.69","13.37","0.3","0.89","2.05","11.24"
"Aphelios","ADC","Weak","37.63","-3.59","47.54","98.01","5.96","1.87","1.97","11.24"
"Ashe","ADC","Good","53.03","1.96","52.14","91","7.09","1.12","2.40","11.24"
"Aurelion Sol","MID","Fair","44.89","-6.08","52.31","91.12","0.81","0.29","2.48","11.24"
"Azir","MID","Bad","30.6","-3.44","45.67","90.32","1.26","0.24","1.97","11.24"
"Bard","SUPPORT","Good","47.54","-1.74","49.7","98.21","3.69","0.89","2.87","11.24"
"Blitzcrank","SUPPORT","Strong","68.61","-11.43","50.41","99.03","9.06","17.88","2.34","11.24"
"Brand","SUPPORT","Good","49.38","-0.15","49.94","78.48","5.4","5.6","1.77","11.24"
"Brand","MID","Fair","39.76","-2.32","50.84","12.55","0.82","5.6","2.02","11.24"
"Braum","SUPPORT","Fair","43.97","-4.91","49.49","98.86","2.86","0.5","2.73","11.24"
"Caitlyn","ADC","God ","88.64","-1.32","49.16","97.96","21.22","16.32","2.22","11.24"
"Camille","TOP","God ","75.01","-19.17","50.26","95.47","7.07","9.21","2.01","11.24"
"Cassiopeia","MID","Fair","46.08","4.24","51.79","69.09","2.2","1.34","2.08","11.24"
"Cassiopeia","ADC","Weak","35.28","-1.39","51.82","11.2","0.35","1.38","2.27","11.24"
"Cassiopeia","TOP","Bad","34.11","-1.49","50.32","17.79","0.59","1.38","1.83","11.24"
"Cho'Gath","TOP","Good","50.11","-6.31","51.19","65.31","2.72","1.21","2.12","11.24"
"Cho'Gath","MID","Fair","42.4","-4.75","51.38","20.86","0.71","1.21","2.40","11.24"
"Corki","MID","Strong","57.91","8.65","49.38","90.41","7.24","3.95","2.11","11.24"
"Darius","TOP","Strong","67.47","-0.53","49.39","94.11","5.87","15.86","1.87","11.24"
"Diana","MID","Fair","45.03","1.05","51.97","34","1.61","1.92","2.16","11.24"
"Diana","JUNGLE","Weak","38.26","0.46","47.81","64.71","2.8","1.8","2.30","11.24"
"Dr. Mundo","TOP","Strong","64.81","1.05","52.39","87.63","4.51","3.91","2.28","11.24"
"Draven","ADC","Good","50.9","2","50.83","94.54","7.17","12.48","2.13","11.24"
"Ekko","JUNGLE","Good","57.49","-2.16","49.57","65.64","6.9","4.47","2.68","11.24"
"Ekko","MID","Fair","45.86","-0.67","49.36","31.09","3.31","4.47","2.21","11.24"
"Elise","JUNGLE","Fair","43.69","0.58","50.49","95.77","2.26","1.88","2.51","11.24"
"Evelynn","JUNGLE","Good","49.58","7.06","49.9","98.62","3.58","9.67","2.89","11.24"
"Ezreal","ADC","God ","74.15","7.74","49.04","96.59","18.21","4.34","2.34","11.24"
"Fiddlesticks","JUNGLE","Good","47.29","0.82","50.95","90.33","2.86","2.94","2.62","11.24"
"Fiora","TOP","Strong","70.76","9.12","51.23","97.35","6.2","10.28","1.79","11.24"
"Fizz","MID","Good","50.81","3.19","51.08","94.69","3.51","4.89","2.37","11.24"
"Galio","MID","Fair","46.02","-1.51","50.27","58.98","2.1","0.58","2.67","11.24"
"Galio","SUPPORT","Weak","38.19","3.43","49.62","37.95","1.38","0.58","2.37","11.24"
"Gangplank","TOP","Good","51.28","2.39","46.74","85.51","5.05","1.93","1.91","11.24"
"Gangplank","MID","Bad","33.18","0.54","47.09","14.46","0.87","1.9","2.14","11.24"
"Garen","TOP","Strong","58.32","0.5","49.91","85.09","4.83","2.04","2.01","11.24"
"Gnar","TOP","Fair","42.52","1.57","48.6","96.68","2.65","0.72","1.98","11.24"
"Gragas","JUNGLE","Fair","43.65","2.36","50.09","48.84","2.24","0.34","2.69","11.24"
"Gragas","TOP","Fair","39.82","1.27","49.71","28.57","1.42","0.34","2.18","11.24"
"Gragas","SUPPORT","Bad","34.7","-1.75","49.23","13.81","0.65","0.34","2.25","11.24"
"Graves","JUNGLE","Strong","69.79","-6.65","50.63","69.2","9.28","12.38","2.62","11.24"
"Graves","TOP","Good","49.97","-3.35","49.92","24.03","3.21","12.38","1.82","11.24"
"Gwen","TOP","Fair","41.63","-5.08","46.78","81.25","3.64","2.53","1.64","11.24"
"Gwen","JUNGLE","Bad","32.93","5.96","48.65","14.4","0.64","2.57","2.21","11.24"
"Hecarim","JUNGLE","Strong","58.35","-1.88","50.76","98.55","5.99","4.02","2.89","11.24"
"Heimerdinger","MID","Weak","37.23","-0.39","50.1","34.02","0.81","0.98","1.86","11.24"
"Heimerdinger","ADC","Weak","35.94","-6.73","52.8","12.88","0.25","0.98","2.11","11.24"
"Heimerdinger","SUPPORT","Weak","35.59","6.07","51.15","10.33","0.23","0.98","1.90","11.24"
"Heimerdinger","TOP","Bad","32.53","-7.6","49.46","42.52","0.9","0.98","1.65","11.24"
"Illaoi","TOP","Weak","37.57","2.89","49.25","92.88","2.05","2.83","1.50","11.24"
"Irelia","TOP","God ","86.36","1.77","50.17","61.54","7.81","25.15","1.63","11.24"
"Irelia","MID","Good","49.15","-0.28","48.03","37.2","4.67","25.15","1.74","11.24"
"Ivern","JUNGLE","Weak","37.36","-0.18","47.05","87.6","1.51","0.51","3.15","11.24"
"Janna","SUPPORT","Good","55.74","-1.95","51.85","98.45","4.85","0.42","3.02","11.24"
"Jarvan IV","JUNGLE","Good","50.71","-2.57","49.83","89.83","3.6","0.65","3.30","11.24"
"Jax","TOP","God ","78.54","-3.14","51.65","84.99","7.25","12.41","1.70","11.24"
"Jax","JUNGLE","Fair","40.18","6.36","51.14","13.54","1.21","11.81","2.15","11.24"
"Jayce","TOP","God ","78.58","-6.71","48.41","75","9.08","4.81","1.78","11.24"
"Jayce","MID","Fair","41.58","2.45","48.78","23.25","2.64","4.81","2.02","11.24"
"Jhin","ADC","God ","91","4.78","50.62","98.45","22.06","4.96","2.86","11.24"
"Jinx","ADC","God ","87.98","1.57","51.83","99.22","20.87","6.54","2.34","11.24"
"Kai'Sa","ADC","Strong","65.02","15.77","48.07","96.92","15.59","3.17","2.32","11.24"
"Kalista","ADC","Bad","31.57","-4.41","48.38","89.55","1.96","0.31","2.24","11.24"
"Karma","SUPPORT","Good","56.47","-2.58","48.88","89.76","7.46","1.31","2.64","11.24"
"Karthus","ADC","Fair","43.91","-4.52","55.72","17.38","0.78","2.81","2.17","11.24"
"Karthus","JUNGLE","Weak","38.98","-1.53","48.62","62.69","2.21","2.81","2.41","11.24"
"Karthus","MID","Weak","38.36","3.55","50.45","10.77","0.38","2.49","2.18","11.24"
"Kassadin","MID","Strong","65.9","-3.06","52.66","96.06","5.88","17.98","2.54","11.24"
"Katarina","MID","Strong","62.86","-0.67","50.68","93.14","7.27","10.52","2.24","11.24"
"Kayle","TOP","Good","53.51","1.32","51.74","73.61","3.51","1.12","1.81","11.24"
"Kayle","MID","Good","48.95","1.02","54.82","23.76","1.02","1.12","2.20","11.24"
"Kayn","JUNGLE","Strong","67.74","-2.41","50.1","96.27","9.46","12.2","2.39","11.24"
"Kennen","MID","Fair","41.44","1.7","51.86","13.26","0.29","0.79","2.29","11.24"
"Kennen","TOP","Weak","35.02","-9.4","46.67","84.82","2.15","0.87","1.95","11.24"
"Kha'Zix","JUNGLE","Strong","62.58","-2.28","50.95","98.99","7.63","7.65","2.49","11.24"
"Kindred","JUNGLE","Good","48.46","0.12","50.8","93.12","3.99","2.17","2.28","11.24"
"Kled","TOP","Fair","45.13","-1.46","51.01","87.97","1.74","0.99","2.24","11.24"
"Kog'Maw","ADC","Fair","42.61","-2.59","53.1","88.82","2.51","0.51","2.20","11.24"
"LeBlanc","MID","Strong","60.32","-3.46","48.69","93.44","6.55","13.12","2.76","11.24"
"Lee Sin","JUNGLE","God ","91.61","0.85","47.98","95.94","16.39","15.61","2.75","11.24"
"Leona","SUPPORT","Strong","66.42","-4.84","49.92","99.16","9.15","15.05","2.27","11.24"
"Lillia","JUNGLE","Fair","44.2","1.05","48.92","85.42","3.33","1.17","2.64","11.24"
"Lillia","TOP","Bad","33.58","-2.41","50.07","11.28","0.45","1.24","1.94","11.24"
"Lissandra","MID","Fair","46.07","0.23","50.65","88.46","2.42","0.74","2.37","11.24"
"Lucian","ADC","Good","56.18","-3.8","50.07","86.38","10.28","5.63","2.22","11.24"
"Lulu","SUPPORT","God ","92.81","-0.2","51.58","97.23","13.1","22.68","3.07","11.24"
"Lux","SUPPORT","God ","88.96","-3.87","50.3","69.39","15.41","11.69","2.49","11.24"
"Lux","MID","Strong","67.82","-2.5","51.87","27.56","6.89","11.69","2.87","11.24"
"Malphite","TOP","Strong","62.22","3.59","51.28","71.1","4.3","4.72","2.42","11.24"
"Malphite","MID","Fair","43.95","-1.72","51.61","12.81","0.83","4.71","2.51","11.24"
"Malphite","SUPPORT","Bad","30.98","3.85","47.28","12.79","0.89","4.73","2.07","11.24"
"Malzahar","MID","Fair","44.39","-2.95","49.46","87.3","2.99","3.15","2.12","11.24"
"Maokai","SUPPORT","Fair","40.16","-5.76","50.69","76.71","1.64","0.25","2.18","11.24"
"Maokai","TOP","Bad","30.96","-3.35","48.74","17.44","0.37","0.25","2.07","11.24"
"Master Yi","JUNGLE","Strong","68.08","-7.75","50.42","91.75","8.62","18.1","2.06","11.24"
"Miss Fortune","ADC","Good","52.46","-5.4","50.35","93.11","8.65","2.35","2.26","11.24"
"Mordekaiser","TOP","Good","51.47","-3.95","47.69","82.63","4.59","6.04","1.78","11.24"
"Mordekaiser","JUNGLE","Bad","33.37","-5.33","49.17","10.5","0.52","6.5","2.13","11.24"
"Morgana","SUPPORT","God ","72.95","-9.45","49.35","91.6","8.83","29.23","2.48","11.24"
"Nami","SUPPORT","God ","75.59","-3.99","52.73","99.72","10.29","3.66","3.17","11.24"
"Nasus","TOP","Good","57.78","-3.49","50.38","83.37","4.51","4.24","1.93","11.24"
"Nautilus","SUPPORT","Strong","58","-1.8","49.9","97.23","7.34","7.93","2.27","11.24"
"Neeko","MID","Weak","37.3","-2.13","48.67","51.73","1.12","0.34","2.20","11.24"
"Neeko","SUPPORT","Bad","29.4","-3.1","47.36","32","0.59","0.34","1.91","11.24"
"Nidalee","JUNGLE","Good","49.47","0.34","48.61","90.46","4.86","2.17","2.83","11.24"
"Nocturne","JUNGLE","Good","46.24","-6.86","49.66","92.53","3.78","6.48","2.35","11.24"
"Nunu","JUNGLE","Good","54.87","2.88","51.96","85.82","4.02","1.75","2.96","11.24"
"Nunu","MID","Fair","39.67","0","50.36","10.25","0.37","1.75","2.45","11.24"
"Olaf","JUNGLE","Bad","31.07","-0.77","46.62","84.11","1.29","0.86","2.32","11.24"
"Olaf","TOP","Bad","17.19","-1.58","44.71","14.75","0.22","0.9","1.60","11.24"
"Orianna","MID","Fair","45.08","0.12","48.68","93.42","3","0.2","2.57","11.24"
"Ornn","TOP","Good","54.99","-0.56","52.41","93.17","2.81","0.41","2.34","11.24"
