"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Aatrox","TOP","God ","82.46","7.44","49.68","92.25","7.89","6.32","1.88","12.8"
"Ahri","MID","God ","87.83","-4.51","51.98","94.27","12.29","15.7","2.47","12.8"
"Akali","MID","Strong","63.11","-2.97","48.68","65.49","7.29","16.67","2.26","12.8"
"Akali","TOP","Good","51.22","-1.29","47.95","33.57","3.52","16.67","1.96","12.8"
"Akshan","MID","Good","51.13","0.16","50.99","59.83","3.16","10.11","2.13","12.8"
"Akshan","TOP","Fair","40.42","-1.49","50.72","30.23","1.46","10.11","1.88","12.8"
"Alistar","SUPPORT","Good","47.11","-0.47","50.4","95.63","3.38","0.82","2.49","12.8"
"Amumu","JUNGLE","Weak","35.83","5.36","49.54","81.01","2.32","0.99","2.43","12.8"
"Amumu","SUPPORT","Bad","31.54","4.65","49.23","14.95","0.3","1.05","1.97","12.8"
"Anivia","MID","Good","53.37","0.54","52.74","77.74","2.5","2.57","2.48","12.8"
"Anivia","SUPPORT","Bad","26.06","-5.55","46.2","14.84","0.4","2.6","2.06","12.8"
"Annie","MID","Fair","46.07","1.3","50.88","80.22","1.73","0.79","2.21","12.8"
"Annie","SUPPORT","Weak","34.41","5.77","50.6","11.97","0.23","0.83","2.04","12.8"
"Aphelios","ADC","Weak","32.65","3.8","45.98","97.28","5.39","1.06","1.88","12.8"
"Ashe","ADC","Good","49.01","0.78","50.47","79.14","6.74","1.08","2.30","12.8"
"Ashe","SUPPORT","Weak","38.2","0.07","49.72","16.46","1.38","1.08","2.38","12.8"
"Aurelion Sol","MID","Fair","42.94","-2.35","50.45","84.81","0.77","0.32","2.30","12.8"
"Azir","MID","Fair","42.19","3.3","49.15","85.66","1.76","0.36","2.06","12.8"
"Bard","SUPPORT","Good","51.03","5.31","50.86","96.47","3.67","0.73","2.91","12.8"
"Blitzcrank","SUPPORT","Strong","63.59","-3.52","50.33","98.06","6.85","17.19","2.38","12.8"
"Brand","SUPPORT","Fair","42.96","-5.87","49.11","69.07","3.67","5.59","1.75","12.8"
"Brand","MID","Weak","38.3","-3.87","48.86","15.19","0.85","6.1","1.90","12.8"
"Brand","ADC","Weak","33.44","0","52.62","10.42","0.44","6.1","2.12","12.8"
"Braum","SUPPORT","Fair","39.61","-0.28","48.72","97.77","2.05","0.34","2.64","12.8"
"Caitlyn","ADC","Good","55.22","-1.47","47.95","96.74","10.25","7.41","2.08","12.8"
"Camille","TOP","Strong","63.63","-2.23","50.37","94.42","5.1","3.8","1.87","12.8"
"Cassiopeia","MID","Fair","43.88","-2.53","50.01","71.64","1.87","1.46","2.02","12.8"
"Cassiopeia","TOP","Weak","35.47","5.02","52.17","15.06","0.42","1.46","1.81","12.8"
"Cassiopeia","ADC","Bad","28.08","-6.74","50.02","11.06","0.31","1.46","2.21","12.8"
"Cho'Gath","TOP","Fair","42.75","-4.52","49.52","65.75","2.3","0.89","1.98","12.8"
"Cho'Gath","MID","Fair","40.89","-6.11","49.6","21.15","0.62","0.89","2.29","12.8"
"Corki","MID","Fair","38.99","0.9","47.39","91.07","1.8","0.44","2.04","12.8"
"Darius","TOP","God ","91.46","0.45","49.61","92.33","7.97","19.72","1.76","12.8"
"Diana","JUNGLE","God ","86.74","1.9","51.81","82.93","9.26","12.19","2.47","12.8"
"Diana","MID","Fair","46.03","-4.08","50.96","15.47","1.72","12.19","2.06","12.8"
"Dr. Mundo","TOP","Good","47.69","2.49","51.53","85.38","2.19","1.46","2.07","12.8"
"Draven","ADC","Fair","43.19","-0.59","49.03","94.12","5.77","10.71","2.02","12.8"
"Ekko","JUNGLE","Good","57.97","0.47","50.58","66.1","5.4","3.93","2.67","12.8"
"Ekko","MID","Fair","44.82","-0.34","48.85","31.22","2.6","3.93","2.14","12.8"
"Elise","JUNGLE","Bad","31.94","-3.67","49.28","92.33","1.66","0.84","2.49","12.8"
"Evelynn","JUNGLE","Fair","41.15","-3.79","48.16","98.2","3.39","6.04","2.75","12.8"
"Ezreal","ADC","God ","87.44","12.37","49.16","95.36","19.67","4.77","2.30","12.8"
"Fiddlesticks","JUNGLE","Good","47.94","6.63","50.88","90.56","3.55","2.52","2.65","12.8"
"Fiora","TOP","God ","77.53","0.16","50.94","97.2","6.26","14.5","1.71","12.8"
"Fizz","MID","Good","54.62","-0.61","51.54","94.56","3.76","5.39","2.34","12.8"
"Galio","MID","Good","49.05","-0.47","51.18","63.94","1.87","0.42","2.57","12.8"
"Galio","SUPPORT","Weak","35.92","2.32","49.69","31.77","0.96","0.42","2.22","12.8"
"Gangplank","TOP","God ","87.57","3.31","48.23","85.38","8.42","12.28","1.92","12.8"
"Gangplank","MID","Fair","39.18","-1.82","47.48","13.26","1.4","12.28","2.15","12.8"
"Garen","TOP","Strong","76.26","3.32","52.01","84.04","6.32","3.43","1.93","12.8"
"Gnar","TOP","Good","47.25","1.34","48.84","96.12","3.41","0.74","1.83","12.8"
"Gragas","MID","Fair","44.16","1.1","51.44","11.92","0.48","0.36","2.35","12.8"
"Gragas","TOP","Weak","34.32","-2.56","46.47","54.83","2.19","0.38","1.95","12.8"
"Gragas","SUPPORT","Weak","33.27","3.62","49.16","13.25","0.46","0.38","2.27","12.8"
"Gragas","JUNGLE","Bad","21.04","-6.71","46.95","20.02","0.73","0.38","2.55","12.8"
