"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Aatrox","TOP","Good","55.11","-3.14","48.97","94.09","4.33","1.97","1.92","12.2"
"Ahri","MID","Good","55.85","2.64","50.71","93.24","4.56","1.04","2.55","12.2"
"Akali","TOP","God ","87.73","29.87","49.7","44.38","6.19","21.71","2.13","12.2"
"Akali","MID","Strong","74.58","9.28","49.85","55.4","8.26","21.71","2.42","12.2"
"Akshan","MID","Strong","63.49","3.64","51.94","59.7","4.86","23.1","2.28","12.2"
"Akshan","TOP","Good","56.86","0.98","51.71","33.35","2.7","23.1","2.00","12.2"
"Alistar","SUPPORT","Fair","43.57","-2.51","50.07","98.09","3.26","0.67","2.50","12.2"
"Amumu","JUNGLE","Good","53.55","7.86","52.93","86.38","3.74","1.64","2.68","12.2"
"Amumu","SUPPORT","Bad","31.37","-4.51","50.03","12.29","0.36","1.64","2.05","12.2"
"Anivia","MID","Good","54.65","1.28","52.2","82.13","3.2","2.91","2.63","12.2"
"Anivia","SUPPORT","Bad","25.66","-6.07","47.11","11.75","0.4","2.92","2.14","12.2"
"Annie","MID","Fair","45.69","-3.12","50.77","84.72","1.99","0.65","2.39","12.2"
"Aphelios","ADC","Weak","37.52","1.55","47.3","98.31","6.45","1.26","2.04","12.2"
"Ashe","ADC","Weak","36.88","-6.2","48.52","90.75","4.4","0.83","2.27","12.2"
"Aurelion Sol","MID","Fair","41.78","-0.37","50.45","88.01","0.89","0.26","2.53","12.2"
"Azir","MID","Weak","33.91","1.22","47.43","92.57","1.11","0.2","2.09","12.2"
"Bard","SUPPORT","Good","48.36","-1.45","50.65","97.43","3.58","0.87","3.01","12.2"
"Blitzcrank","SUPPORT","Strong","72.94","5.14","52.8","99.27","8.28","18.58","2.46","12.2"
"Brand","SUPPORT","Fair","41.45","-3.75","48.71","75.97","4.18","5.4","1.78","12.2"
"Brand","MID","Fair","37.88","-3.33","50.04","14.02","0.8","5.92","1.98","12.2"
"Braum","SUPPORT","Fair","40.45","-6.29","49.42","99.06","2.44","0.33","2.74","12.2"
"Caitlyn","ADC","God ","84.24","-4.25","50.12","98.5","18.96","19.84","2.31","12.2"
"Camille","TOP","God ","81.87","-2.74","50.36","96.9","6.64","6.65","2.00","12.2"
"Cassiopeia","MID","Good","47.6","3.52","51.63","71.07","2.39","1.43","2.13","12.2"
"Cassiopeia","TOP","Bad","28.42","2.22","50.83","19.16","0.67","1.39","1.81","12.2"
"Cho'Gath","TOP","Good","47.05","-5.71","50.94","68.83","2.57","0.87","2.14","12.2"
"Cho'Gath","MID","Fair","38.75","1","50","19.46","0.53","0.87","2.38","12.2"
"Corki","MID","Strong","68.01","9.82","49.34","93.02","8.73","6.56","2.17","12.2"
"Darius","TOP","God ","83.17","-0.79","48.79","95.8","6.72","15.35","1.85","12.2"
"Diana","JUNGLE","God ","91.29","8.33","51.25","86.44","13.02","19.18","2.46","12.2"
"Diana","MID","Fair","46.58","-2.47","51.14","12.82","1.94","19.18","2.16","12.2"
"Dr. Mundo","TOP","Good","58.14","-4.59","51.06","91.82","3.73","2.69","2.19","12.2"
"Draven","ADC","Fair","44.81","-1.56","50.93","94.91","5.33","10.37","2.16","12.2"
"Ekko","JUNGLE","Good","57.22","1.29","50.44","64.85","6.17","3.99","2.74","12.2"
"Ekko","MID","Good","49.04","2.26","50.64","33.14","3.03","3.99","2.29","12.2"
"Elise","JUNGLE","Fair","41.41","0.82","50.37","95.75","2.12","1.56","2.56","12.2"
"Evelynn","JUNGLE","Good","47.98","-0.06","50.07","98.88","3.35","8.33","2.92","12.2"
"Ezreal","ADC","Strong","71.21","-4.77","48.8","97.15","18.07","5.07","2.36","12.2"
"Fiddlesticks","JUNGLE","Fair","44.63","-1.37","50.43","93.42","2.75","2.53","2.70","12.2"
"Fiora","TOP","God ","78.31","3.22","50.41","97.66","6.17","10.46","1.77","12.2"
"Fizz","MID","Good","52.91","0.66","50.17","96.17","4.08","4.45","2.44","12.2"
"Galio","MID","Fair","44.05","-2.81","49.33","61.58","1.98","0.43","2.65","12.2"
"Galio","SUPPORT","Bad","28.64","-8.25","47.11","35.02","1.08","0.43","2.28","12.2"
"Gangplank","TOP","Good","60.8","-4.78","47.01","87.53","5.44","4.02","1.98","12.2"
"Gangplank","MID","Fair","37.83","1.26","49.29","12.8","0.8","4","2.28","12.2"
"Garen","TOP","God ","77.32","3.32","50.46","88.37","6.33","2.42","2.06","12.2"
"Gnar","TOP","Good","47.37","0.28","49.37","97.96","3.21","0.65","2.03","12.2"
"Gragas","TOP","Fair","42.66","5.2","48.39","50.02","2.72","0.4","2.28","12.2"
"Gragas","JUNGLE","Weak","34.6","-1.51","47.84","34.19","1.6","0.4","2.70","12.2"
"Graves","JUNGLE","Good","55.91","-3.92","49.66","70.68","6.37","6.21","2.61","12.2"
"Graves","TOP","Weak","36.78","-6","49.53","22.57","2.01","6.21","1.76","12.2"
"Gwen","TOP","Strong","66.53","11.88","49.14","75.56","5.66","4.2","1.74","12.2"
"Gwen","JUNGLE","Weak","37.68","-0.99","49.7","21.69","1.73","4.2","2.38","12.2"
"Hecarim","JUNGLE","God ","80.61","9.35","50.86","99.35","10.45","15.56","3.00","12.2"
"Heimerdinger","MID","Fair","39.53","3.64","51.01","34.57","0.79","0.8","1.95","12.2"
"Heimerdinger","ADC","Weak","35.21","1.2","52.58","11.94","0.23","0.8","2.14","12.2"
"Heimerdinger","SUPPORT","Bad","30.25","-3.59","50.36","11.31","0.18","0.8","1.79","12.2"
"Heimerdinger","TOP","Bad","21.13","-3.02","48.05","41.9","0.85","0.8","1.62","12.2"
"Illaoi","TOP","Weak","33.12","-0.99","49.12","93.87","1.97","2.42","1.57","12.2"
"Irelia","TOP","Strong","75.84","-5.51","49.48","59.75","5.69","19.73","1.61","12.2"
"Irelia","MID","Good","48.39","0.32","49.17","39.53","3.71","19.73","1.77","12.2"
"Ivern","JUNGLE","Fair","42.61","3.78","50.3","84.62","1.07","0.29","3.42","12.2"
"Janna","SUPPORT","God ","90.63","38.71","53.21","95.09","12.8","6.93","3.24","12.2"
"Jarvan IV","JUNGLE","Good","56.8","1.87","50.15","94.66","5.4","0.68","3.36","12.2"
"Jax","TOP","Strong","75.48","-6.68","49.85","85.59","6.21","10.13","1.61","12.2"
